profile,engine,sessions,e1rm_start,e1rm_end,e1rm_change,weight_start,weight_end,weight_change,rate_kg_per_week,first_plateau_week,efficiency_mean,efficiency_end,efficiency_min,efficiency_max,pct_increase,pct_decrease,pct_hold,pct_increase_aggressive,pct_increase_success,pct_training_failure,direction_changes,volatility_kg,deload_streaks,max_deload_streak,overload_events,pct_overload,longest_nochange_sessions,stuck_sessions,pct_stuck,sharp_jumps,counterintuitive,pct_counterintuitive
Beginner · fast gainer,Bayesian,78,65.333,83.333,18.0,40.0,50.0,10.0,0.347,7.0,0.819,0.758,0.758,0.875,5.128,0.0,94.872,0.0,100.0,0.0,0,0.555,0,0,0,0.0,39,59,75.641,0,71,91.026
Beginner · fast gainer,Double Progression,78,65.333,83.333,18.0,40.0,62.5,22.5,0.588,2.667,0.945,0.947,0.778,0.987,14.103,2.564,83.333,9.091,90.909,6.41,4,0.985,0,1,0,0.0,14,58,74.359,0,0,0.0
Beginner · steady gainer,Bayesian,78,65.333,73.333,8.0,40.0,50.0,10.0,0.251,3.0,0.841,0.841,0.773,0.892,5.128,0.0,94.872,0.0,100.0,0.0,0,0.555,0,0,0,0.0,53,65,83.333,0,71,91.026
Beginner · steady gainer,Double Progression,78,65.333,74.75,9.417,40.0,57.5,17.5,0.37,2.667,0.95,0.967,0.778,0.988,11.538,2.564,85.897,22.222,77.778,12.821,4,0.917,0,1,0,0.0,25,65,83.333,0,0,0.0
Intermediate · fast gainer,Bayesian,78,89.833,105.75,15.917,55.0,67.5,12.5,0.431,1.333,0.842,0.813,0.788,0.889,6.41,0.0,93.59,0.0,100.0,0.0,0,0.616,0,0,0,0.0,35,66,84.615,0,70,89.744
Intermediate · fast gainer,Double Progression,78,89.833,106.667,16.833,55.0,80.0,25.0,0.629,8.0,0.952,0.964,0.799,0.986,15.385,2.564,82.051,25.0,75.0,10.256,4,1.015,0,1,0,0.0,18,49,62.821,0,0,0.0
Intermediate · steady gainer,Bayesian,78,89.833,97.5,7.667,55.0,65.0,10.0,0.334,1.333,0.857,0.851,0.793,0.889,5.128,0.0,94.872,0.0,100.0,0.0,0,0.555,0,0,0,0.0,37,66,84.615,0,71,91.026
Intermediate · steady gainer,Double Progression,78,89.833,96.667,6.833,55.0,72.5,17.5,0.354,3.0,0.952,0.949,0.799,0.974,8.974,0.0,91.026,0.0,100.0,5.128,0,0.719,0,0,0,0.0,28,70,89.744,0,0,0.0
Intermediate · slow gainer,Bayesian,78,88.0,91.667,3.667,55.0,62.5,7.5,0.221,1.333,0.869,0.864,0.796,0.898,3.846,0.0,96.154,0.0,100.0,0.0,0,0.484,0,0,0,0.0,60,66,84.615,0,72,92.308
Intermediate · slow gainer,Double Progression,78,88.0,91.0,3.0,55.0,70.0,15.0,0.201,5.0,0.953,0.968,0.799,0.982,11.538,3.846,84.615,44.444,55.556,20.513,6,0.968,0,1,0,0.0,27,61,78.205,0,0,0.0
Advanced · steady gainer,Bayesian,78,116.0,121.0,5.0,72.5,82.5,10.0,0.33,1.333,0.871,0.858,0.808,0.903,5.128,0.0,94.872,0.0,100.0,0.0,0,0.555,0,0,0,0.0,53,67,85.897,0,71,91.026
Advanced · steady gainer,Double Progression,78,116.0,123.333,7.333,72.5,92.5,20.0,0.399,3.0,0.951,0.962,0.813,0.976,10.256,0.0,89.744,0.0,100.0,5.128,0,0.763,0,0,0,0.0,35,69,88.462,0,0,0.0
Advanced · slow gainer,Bayesian,78,116.0,112.75,-3.25,72.5,82.5,10.0,0.257,7.0,0.869,0.898,0.783,0.898,6.41,1.282,92.308,0.0,100.0,0.0,1,0.686,0,1,0,0.0,59,59,75.641,0,71,91.026
Advanced · slow gainer,Double Progression,78,116.0,113.75,-2.25,72.5,87.5,15.0,0.188,3.667,0.954,0.953,0.813,0.978,10.256,2.564,87.179,37.5,62.5,14.103,4,0.88,0,1,0,0.0,40,68,87.179,0,0,0.0
Intermediate · plateaued,Bayesian,78,91.667,89.583,-2.083,55.0,62.5,7.5,0.157,1.667,0.864,0.872,0.774,0.878,3.846,0.0,96.154,0.0,100.0,0.0,0,0.484,0,0,0,0.0,63,71,91.026,0,73,93.59
Intermediate · plateaued,Double Progression,78,91.667,91.0,-0.667,55.0,70.0,15.0,0.165,3.0,0.944,0.977,0.774,0.982,10.256,2.564,87.179,37.5,62.5,11.538,4,0.88,0,1,0,0.0,38,66,84.615,0,0,0.0
Robustness · one bad week (wk12),Bayesian,78,86.167,97.5,11.333,55.0,65.0,10.0,0.331,6.333,0.85,0.834,0.793,0.886,5.128,0.0,94.872,0.0,100.0,2.564,0,0.555,0,0,0,0.0,35,61,78.205,0,66,84.615
Robustness · one bad week (wk12),Double Progression,78,86.167,97.5,11.333,55.0,75.0,20.0,0.425,3.0,0.947,0.962,0.799,0.974,14.103,3.846,82.051,18.182,81.818,14.103,4,1.034,1,2,0,0.0,27,56,71.795,0,0,0.0
Robustness · missed week (wk12),Bayesian,75,88.0,97.5,9.5,55.0,65.0,10.0,0.356,1.333,0.854,0.834,0.792,0.885,5.333,0.0,94.667,0.0,100.0,0.0,0,0.565,0,0,0,0.0,37,63,84.0,0,68,90.667
Robustness · missed week (wk12),Double Progression,75,88.0,96.667,8.667,55.0,72.5,17.5,0.413,2.667,0.945,0.93,0.799,0.988,12.0,2.667,85.333,11.111,88.889,5.333,3,0.934,0,1,0,0.0,21,61,81.333,0,0,0.0
Robustness · 3-week dip (wk12-15),Bayesian,78,88.0,97.5,9.5,55.0,65.0,10.0,0.305,1.333,0.845,0.834,0.792,0.885,5.128,0.0,94.872,0.0,100.0,0.0,0,0.555,0,0,0,0.0,45,66,84.615,0,63,80.769
Robustness · 3-week dip (wk12-15),Double Progression,78,88.0,97.5,9.5,55.0,75.0,20.0,0.449,4.0,0.944,0.962,0.799,0.976,14.103,3.846,82.051,0.0,100.0,12.821,2,1.034,1,3,0,0.0,22,57,73.077,0,0,0.0
